BusStopCode,RoadName,Description,FullName,Latitude,Longitude
44021,Upp Bt Timah Rd,Bt Panjang Stn Exit B,44021 - Bt Panjang Stn Exit B,1.37821,103.76172
44029,Upp Bt Timah Rd,Bt Panjang Stn Exit A/LRT,44029 - Bt Panjang Stn Exit A/LRT,1.37863,103.7622
44031,Upp Bt Timah Rd,Aft Bt Panjang Stn,44031 - Aft Bt Panjang Stn,1.37786,103.76232
44041,Woodlands Rd,Junction 10,44041 - Junction 10,1.38095,103.76037
44049,Woodlands Rd,Opp Junction 10,44049 - Opp Junction 10,1.38104,103.76086
44051,Woodlands Rd,Opp Blk 632 CP,44051 - Opp Blk 632 CP,1.38441,103.75802
44059,Woodlands Rd,Blk 632 CP,44059 - Blk 632 CP,1.3845,103.75818
44061,Woodlands Rd,Bef Yew Tee Flyover,44061 - Bef Yew Tee Flyover,1.38792,103.75539
44069,Woodlands Rd,Aft KJE Slip Rd,44069 - Aft KJE Slip Rd,1.38592,103.75718
44071,Choa Chu Kang Ave 3,Blk 464,44071 - Blk 464,1.37678,103.73622
44079,Choa Chu Kang Ave 3,Opp Blk 464,44079 - Opp Blk 464,1.37658,103.73635
44081,Choa Chu Kang Ave 1,Blk 296A,44081 - Blk 296A,1.3768,103.74073
44089,Choa Chu Kang Ave 1,Opp Blk 296A,44089 - Opp Blk 296A,1.37648,103.74095
44091,Choa Chu Kang Ave 1,Bef Choa Chu Kang Mkt,44091 - Bef Choa Chu Kang Mkt,1.37647,103.74422
44099,Choa Chu Kang Ave 1,Opp Choa Chu Kang Mkt,44099 - Opp Choa Chu Kang Mkt,1.37632,103.74463
44101,Choa Chu Kang Ave 1,Aft Hong San Terr,44101 - Aft Hong San Terr,1.37716,103.74683
44109,Choa Chu Kang Ave 1,Opp Hong San Terr,44109 - Opp Hong San Terr,1.37718,103.74762
44111,Choa Chu Kang Ave 1,Opp Blk 203,44111 - Opp Blk 203,1.38094,103.74975
44119,Choa Chu Kang Ave 1,Blk 204,44119 - Blk 204,1.38048,103.74931
44121,Choa Chu Kang Way,Blk 113,44121 - Blk 113,1.3777,103.75094
44129,Choa Chu Kang Way,Sol Acres Condo,44129 - Sol Acres Condo,1.37742,103.75093
44131,Choa Chu Kang Rd,Blk 26,44131 - Blk 26,1.3771,103.75532
44139,Choa Chu Kang Rd,Opp Blk 26,44139 - Opp Blk 26,1.37681,103.75537
44141,Choa Chu Kang Rd,Phoenix Stn,44141 - Phoenix Stn,1.37836,103.75774
44149,Choa Chu Kang Rd,Opp Phoenix Stn,44149 - Opp Phoenix Stn,1.37798,103.75777
44151,Bt Batok Rd,Opp Bt Batok Fire Stn,44151 - Opp Bt Batok Fire Stn,1.37392,103.75223
44159,Bt Batok Rd,Bt Batok Fire Stn,44159 - Bt Batok Fire Stn,1.37401,103.75259
44161,Bt Batok Rd,Aft Bt Batok West Ave 5,44161 - Aft Bt Batok West Ave 5,1.37071,103.74995
44169,Bt Batok Rd,Bef Bt Batok West Ave 5,44169 - Bef Bt Batok West Ave 5,1.37047,103.75017
44171,Bt Batok Rd,Bef Bt Batok West Ave 5,44171 - Bef Bt Batok West Ave 5,1.36801,103.74705
44179,Bt Batok Rd,Aft Bt Batok West Ave 5,44179 - Aft Bt Batok West Ave 5,1.36783,103.74736
44181,Keat Hong Cl,Blk 802B,44181 - Blk 802B,1.37451,103.74273
44189,Keat Hong Cl,Blk 803,44189 - Blk 803,1.37436,103.74272
44191,Gangsa Rd,Opp Blk 171,44191 - Opp Blk 171,1.37879,103.76703
44199,Gangsa Rd,Blk 171,44199 - Blk 171,1.37888,103.76672
44201,Petir Rd,Aft Petir Stn,44201 - Aft Petir Stn,1.37732,103.76727
44209,Petir Rd,Opp Petir Stn,44209 - Opp Petir Stn,1.3772,103.76698
44211,Petir Rd,Blk 127,44211 - Blk 127,1.3761,103.76922
44219,Petir Rd,Bet Blks 139/140,44219 - Bet Blks 139/140,1.37578,103.76935
44221,Pending Rd,Opp Pending Stn,44221 - Opp Pending Stn,1.3763,103.77099
44229,Pending Rd,Bef Pending Stn,44229 - Bef Pending Stn,1.37656,103.77146
44231,Bt Panjang Rd,Zhenghua Pr Sch,44231 - Zhenghua Pr Sch,1.37917,103.76933
44239,Bt Panjang Rd,Opp Zhenghua Pr Sch,44239 - Opp Zhenghua Pr Sch,1.37846,103.76983
44241,Bt Panjang Rd,Opp Lompang Rd,44241 - Opp Lompang Rd,1.38117,103.76586
44249,Bt Panjang Rd,Blk 174,44249 - Blk 174,1.3805,103.76649
44251,Bt Panjang Rd,Bt Panjang Stn/Blk 604,44251 - Bt Panjang Stn/Blk 604,1.3803,103.76232
44259,Bt Panjang Rd,Blk 183,44259 - Blk 183,1.3803,103.76297
44261,Bt Panjang Rd,Blk 270,44261 - Blk 270,1.37608,103.77428
44269,Bt Panjang Rd,Blk 223,44269 - Blk 223,1.37578,103.77423
44271,Teck Whye Ave,Bet Blks 13/14,44271 - Bet Blks 13/14,1.37867,103.75615
